,icd10_category,description
723,R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
724,J20,Acute bronchitis
726,L85,Other epidermal thickening
728,M31,Other necrotizing vasculopathies
729,N36,Other disorders of urethra
730,L71,Rosacea
731,Q65,Congenital deformities of hip
732,Z01,Other special examinations and investigations of persons without complaint or reported diagnosis
733,M67,Other disorders of synovium and tendon
734,Z47,Other orthopaedic follow-up care
735,G97,"Postprocedural disorders of nervous system, not elsewhere classified"
736,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
737,J94,Other pleural conditions
738,S63,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level"
739,B02,Zoster [herpes zoster]
740,E01,Iodine-deficiency-related thyroid disorders and allied conditions
741,E06,Thyroiditis
742,L20,Atopic dermatitis
743,L01,Impetigo
744,O43,Placental disorders
746,Q63,Other congenital malformations of kidney
747,Z63,"Other problems related to primary support group, including family circumstances"
748,I40,Acute myocarditis
749,T66,Unspecified effects of radiation
750,S40,Superficial injury of shoulder and upper arm
751,Y95,Nosocomial condition
752,R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
753,L28,Lichen simplex chronicus and prurigo
754,Q64,Other congenital malformations of urinary system
755,Z74,Problems related to care-provider dependency
756,O30,Multiple gestation
757,A52,Late syphilis
758,M14,Arthropathies in other diseases classified elsewhere
759,C44,Other malignant neoplasms of skin
760,S20,Superficial injury of thorax
761,S29,Other and unspecified injuries of thorax
762,F23,Acute and transient psychotic disorders
763,G12,Spinal muscular atrophy and related syndromes
764,O11,Pre-eclampsia superimposed on chronic hypertension
765,E02,Subclinical iodine-deficiency hypothyroidism
766,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
767,Y35,Legal intervention
768,V13,"Pedal cyclist injured in collision with car, pick-up truck or van"
769,Z71,"Persons encountering health services for other counselling and medical advice, not elsewhere classified"
770,L81,Other disorders of pigmentation
771,A09,Other gastroenteritis and colitis of infectious and unspecified origin
772,I60,Subarachnoid haemorrhage
773,L95,"Vasculitis limited to skin, not elsewhere classified"
774,H33,Retinal detachments and breaks
775,S26,Injury of heart
776,V43,"Car occupant injured in collision with car, pick-up truck or van"
777,N84,Polyp of female genital tract
778,Q24,Other congenital malformations of heart
779,L12,Pemphigoid
780,W22,Striking against or struck by other object(s)
781,B74,Filariasis
782,K73,"Chronic hepatitis, not elsewhere classified"
783,N89,Other noninflammatory disorders of vagina
784,K55,Vascular disorders of intestine
785,V18,Pedal cyclist injured in noncollision transport accident
786,C49,Malignant neoplasm of other connective and soft tissue
787,J60,Coalworker pneumoconiosis
788,C95,Leukaemia of unspecified cell type
789,C94,Other leukaemias of specified cell type
790,C01,Malignant neoplasm of base of tongue
792,H11,Other disorders of conjunctiva
793,S51,Open wound of forearm
794,C82,Follicular lymphoma
795,R68,Other general symptoms and signs
796,W20,"Struck by thrown, projected or falling object(s)"
797,M20,Acquired deformities of fingers and toes
798,J85,Abscess of lung and mediastinum
799,M45,Ankylosing spondylitis
800,G50,Disorders of trigeminal nerve
801,M23,Internal derangement of knee
802,Q03,Congenital hydrocephalus
803,L05,Pilonidal cyst
804,N71,"Inflammatory disease of uterus, except cervix"
805,N72,Inflammatory disease of cervix uteri
806,C55,"Malignant neoplasm of uterus, part unspecified"
807,V48,Car occupant injured in noncollision transport accident
808,M30,Polyarteritis nodosa and related conditions
809,D23,Other benign neoplasms of skin
810,C84,Mature T/NK-cell lymphomas
811,Q54,Hypospadias
812,B36,Other superficial mycoses
813,B94,Sequelae of other and unspecified infectious and parasitic diseases
814,L66,Cicatricial alopecia [scarring hair loss]
815,D35,Benign neoplasm of other and unspecified endocrine glands
816,E26,Hyperaldosteronism
817,S65,Injury of blood vessels at wrist and hand level
818,S66,Injury of muscle and tendon at wrist and hand level
819,X95,Assault by other and unspecified firearm discharge
820,Q60,Renal agenesis and other reduction defects of kidney
821,E65,Localized adiposity
822,G11,Hereditary ataxia
823,N26,Unspecified contracted kidney
824,G04,"Encephalitis, myelitis and encephalomyelitis"
825,H51,Other disorders of binocular movement
826,Q39,Congenital malformations of oesophagus
828,S11,Open wound of neck
829,J38,"Diseases of vocal cords and larynx, not elsewhere classified"
830,H18,Other disorders of cornea
831,K14,Diseases of tongue
832,L90,Atrophic disorders of skin
833,K90,Intestinal malabsorption
834,Q76,Congenital malformations of spine and bony thorax
835,I36,Nonrheumatic tricuspid valve disorders
836,T49,"Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs"
837,D55,Anaemia due to enzyme disorders
838,L11,Other acantholytic disorders
839,G54,Nerve root and plexus disorders
840,L74,Eccrine sweat disorders
841,Z84,Family history of other conditions
842,J40,"Bronchitis, not specified as acute or chronic"
843,Q13,Congenital malformations of anterior segment of eye
844,E56,Other vitamin deficiencies
845,W00,Fall on same level involving ice and snow
846,O61,Failed induction of labour
847,T48,Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system
848,D56,Thalassaemia
849,K71,Toxic liver disease
850,F51,Nonorganic sleep disorders
851,A60,Anogenital herpesviral [herpes simplex] infection
852,O88,Obstetric embolism
853,W26,Contact with other sharp object(s)
855,Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified"
856,M76,"Enthesopathies of lower limb, excluding foot"
857,W07,Fall involving chair
858,R58,"Haemorrhage, not elsewhere classified"
859,C32,Malignant neoplasm of larynx
860,M77,Other enthesopathies
861,L24,Irritant contact dermatitis
862,D05,Carcinoma in situ of breast
863,O73,"Retained placenta and membranes, without haemorrhage"
864,S81,Open wound of lower leg
865,V87,Traffic accident of specified type but victim's mode of transport unknown
866,S03,"Dislocation, sprain and strain of joints and ligaments of head"
867,I43,Cardiomyopathy in diseases classified elsewhere
868,C02,Malignant neoplasm of other and unspecified parts of tongue
869,Y07,Other maltreatment
870,N43,Hydrocele and spermatocele
871,V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
872,I68,Cerebrovascular disorders in diseases classified elsewhere
873,R54,Senility
874,H74,Other disorders of middle ear and mastoid
875,T73,Effects of other deprivation
876,Y90,Evidence of alcohol involvement determined by blood alcohol level
877,I05,Rheumatic mitral valve diseases
878,B50,Plasmodium falciparum malaria
879,A87,Viral meningitis
880,E73,Lactose intolerance
881,N93,Other abnormal uterine and vaginal bleeding
882,H46,Optic neuritis
883,N92,"Excessive, frequent and irregular menstruation"
884,L65,Other nonscarring hair loss
885,M08,Juvenile arthritis
886,V19,Pedal cyclist injured in other and unspecified transport accidents
887,M11,Other crystal arthropathies
888,O40,Polyhydramnios
889,E20,Hypoparathyroidism
890,S53,"Dislocation, sprain and strain of joints and ligaments of elbow"
891,W21,Striking against or struck by sports equipment
892,N04,Nephrotic syndrome
893,F64,Gender identity disorders
894,F28,Other nonorganic psychotic disorders
895,N74,Female pelvic inflammatory disorders in diseases classified elsewhere
896,S07,Crushing injury of head
897,X50,Overexertion and strenuous or repetitive movements
898,S97,Crushing injury of ankle and foot
899,I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
900,C60,Malignant neoplasm of penis
901,W55,Bitten or struck by other mammals
902,M99,"Biomechanical lesions, not elsewhere classified"
903,M34,Systemic sclerosis
904,I78,Diseases of capillaries
905,T86,Failure and rejection of transplanted organs and tissues
906,H43,Disorders of vitreous body
907,H25,Senile cataract
908,F16,Mental and behavioural disorders due to use of hallucinogens
909,O31,Complications specific to multiple gestation
910,O92,Other disorders of breast and lactation associated with childbirth
911,V47,Car occupant injured in collision with fixed or stationary object
912,E13,Other specified diabetes mellitus
913,L93,Lupus erythematosus
914,E61,Deficiency of other nutrient elements
915,N75,Diseases of Bartholin gland
916,O47,False labour
917,L50,Urticaria
918,B33,"Other viral diseases, not elsewhere classified"
919,R81,Glycosuria
920,N70,Salpingitis and oophoritis
921,G21,Secondary parkinsonism
922,N86,Erosion and ectropion of cervix uteri
923,J21,Acute bronchiolitis
924,M05,Seropositive rheumatoid arthritis
925,Q96,Turner syndrome
926,B15,Acute hepatitis A
927,O89,Complications of anaesthesia during the puerperium
929,D60,Acquired pure red cell aplasia [erythroblastopenia]
930,J17,Pneumonia in diseases classified elsewhere
931,B44,Aspergillosis
932,X72,Intentional self-harm by handgun discharge
933,A49,Bacterial infection of unspecified site
934,A18,Tuberculosis of other organs
935,H44,Disorders of globe
936,Q89,"Other congenital malformations, not elsewhere classified"
937,H52,Disorders of refraction and accommodation
938,J82,"Pulmonary eosinophilia, not elsewhere classified"
939,Q05,Spina bifida
940,B30,Viral conjunctivitis
941,G80,Cerebral palsy
942,L23,Allergic contact dermatitis
943,D24,Benign neoplasm of breast
944,Q51,Congenital malformations of uterus and cervix
945,Q52,Other congenital malformations of female genitalia
946,N76,Other inflammation of vagina and vulva
947,H60,Otitis externa
948,H71,Cholesteatoma of middle ear
949,S90,Superficial injury of ankle and foot
950,J13,Pneumonia due to Streptococcus pneumoniae
951,A77,Spotted fever [tick-borne rickettsioses]
952,F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction"
953,G82,Paraplegia and tetraplegia
954,W34,Discharge from other and unspecified firearms
955,N41,Inflammatory diseases of prostate
956,S21,Open wound of thorax
957,X92,Assault by drowning and submersion
958,S91,Open wound of ankle and foot
959,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
960,M13,Other arthritis
961,C45,Mesothelioma
962,C38,"Malignant neoplasm of heart, mediastinum and pleura"
963,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension
964,N87,Dysplasia of cervix uteri
965,Y82,Other and unspecified medical devices associated with adverse incidents
966,E59,Dietary selenium deficiency
967,E60,Dietary zinc deficiency
968,A48,"Other bacterial diseases, not elsewhere classified"
969,F30,Manic episode
970,H34,Retinal vascular occlusions
971,W13,"Fall from, out of or through building or structure"
972,M66,Spontaneous rupture of synovium and tendon
973,N42,Other disorders of prostate
974,K38,Other diseases of appendix
975,O04,Medical abortion
976,S38,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis"
977,W23,"Caught, crushed, jammed or pinched in or between objects"
978,Y30,"Falling, jumping or pushed from a high place, undetermined intent"
979,D28,Benign neoplasm of other and unspecified female genital organs
980,H01,Other inflammation of eyelid
981,J61,Pneumoconiosis due to asbestos and other mineral fibres
982,Z33,"Pregnant state, incidental"
983,L21,Seborrhoeic dermatitis
984,N01,Rapidly progressive nephritic syndrome
985,O21,Excessive vomiting in pregnancy
986,G37,Other demyelinating diseases of central nervous system
987,N02,Recurrent and persistent haematuria
988,Z04,Examination and observation for other reasons
989,S64,Injury of nerves at wrist and hand level
990,O87,Venous complications and haemorrhoids in the puerperium
991,E23,Hypofunction and other disorders of pituitary gland
992,C71,Malignant neoplasm of brain
993,Q04,Other congenital malformations of brain
994,W67,Drowning and submersion while in swimming-pool
995,Q25,Congenital malformations of great arteries
996,Q87,Other specified congenital malformation syndromes affecting multiple systems
997,X83,Intentional self-harm by other specified means
998,Q45,Other congenital malformations of digestive system
1000,G72,Other myopathies
1001,D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
1002,D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites
1003,I23,Certain current complications following acute myocardial infarction
1004,B49,Unspecified mycosis
1005,H16,Keratitis
1006,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
1007,L70,Acne
1008,B17,Other acute viral hepatitis
1009,C48,Malignant neoplasm of retroperitoneum and peritoneum
1010,C76,Malignant neoplasm of other and ill-defined sites
1011,D45,Polycythaemia vera
1012,D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
1013,Y81,General- and plastic-surgery devices associated with adverse incidents
1014,L10,Pemphigus
1015,T59,"Toxic effect of other gases, fumes and vapours"
1016,R87,Abnormal findings in specimens from female genital organs
1017,H15,Disorders of sclera
1018,N64,Other disorders of breast
1019,D58,Other hereditary haemolytic anaemias
1020,X99,Assault by sharp object
1021,H49,Paralytic strabismus
1022,T88,"Other complications of surgical and medical care, not elsewhere classified"
1023,N45,Orchitis and epididymitis
1024,Y73,Gastroenterology and urology devices associated with adverse incidents
1025,Z60,Problems related to social environment
1026,H02,Other disorders of eyelid
1027,O01,Hydatidiform mole
1028,O08,Complications following abortion and ectopic and molar pregnancy
1029,K13,Other diseases of lip and oral mucosa
1030,I01,Rheumatic fever with heart involvement
1031,S99,Other and unspecified injuries of ankle and foot
1032,J09,Influenza due to identified zoonotic or pandemic influenza virus
1033,O35,Maternal care for known or suspected fetal abnormality and damage
1034,S69,Other and unspecified injuries of wrist and hand
1035,W11,Fall on and from ladder
1036,Y08,Assault by other specified means
1037,B27,Infectious mononucleosis
1038,O16,Unspecified maternal hypertension
1039,S15,Injury of blood vessels at neck level
1040,B99,Other and unspecified infectious diseases
1041,V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents
1042,W04,Fall while being carried or supported by other persons
1043,N21,Calculus of lower urinary tract
1044,N82,Fistulae involving female genital tract
1045,W88,Exposure to ionizing radiation
1046,T41,Poisoning by anaesthetics and therapeutic gases
1047,D83,Common variable immunodeficiency
1048,Y69,Unspecified misadventure during surgical and medical care
1049,D33,Benign neoplasm of brain and other parts of central nervous system
1050,U09,Emergency use of U09
1051,W86,Exposure to other specified electric current
1052,L13,Other bullous disorders
1053,S10,Superficial injury of neck
1054,G70,Myasthenia gravis and other myoneural disorders
1055,S45,Injury of blood vessels at shoulder and upper arm level
1056,Z29,Need for other prophylactic measures
1057,H83,Other diseases of inner ear
1058,G10,Huntington disease
1059,A43,Nocardiosis
1060,C17,Malignant neoplasm of small intestine
1061,Q90,Down syndrome
1062,F81,Specific developmental disorders of scholastic skills
1063,V94,Other and unspecified water transport accidents
1064,J42,Unspecified chronic bronchitis
1065,R92,Abnormal findings on diagnostic imaging of breast
1066,I38,"Endocarditis, valve unspecified"
1067,D14,Benign neoplasm of middle ear and respiratory system
1068,D16,Benign neoplasm of bone and articular cartilage
1069,T54,Toxic effect of corrosive substances
1070,R43,Disturbances of smell and taste
1071,E50,Vitamin A deficiency
1072,S46,Injury of muscle and tendon at shoulder and upper arm level
1073,N97,Female infertility
1074,F21,Schizotypal disorder
1075,N15,Other renal tubulo-interstitial diseases
1076,Y36,Operations of war
1077,J92,Pleural plaque
1078,E41,Nutritional marasmus
1079,D34,Benign neoplasm of thyroid gland
1080,D30,Benign neoplasm of urinary organs
1081,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
1082,N06,Isolated proteinuria with specified morphological lesion
1083,S35,"Injury of blood vessels at abdomen, lower back and pelvis level"
1084,N34,Urethritis and urethral syndrome
1085,F99,"Mental disorder, not otherwise specified"
1086,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
1087,G23,Other degenerative diseases of basal ganglia
1088,W27,Contact with nonpowered hand tool
1089,S67,Crushing injury of wrist and hand
1090,L80,Vitiligo
1091,H31,Other disorders of choroid
1092,Q40,Other congenital malformations of upper alimentary tract
1093,A42,Actinomycosis
1094,L26,Exfoliative dermatitis
1095,L88,Pyoderma gangrenosum
1096,S23,"Dislocation, sprain and strain of joints and ligaments of thorax"
1097,N23,Unspecified renal colic
1098,T67,Effects of heat and light
1099,X30,Exposure to excessive natural heat
1100,G36,Other acute disseminated demyelination
1101,Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
1102,N47,"Redundant prepuce, phimosis and paraphimosis"
1103,E29,Testicular dysfunction
1104,D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
1105,S73,"Dislocation, sprain and strain of joint and ligaments of hip"
1106,B69,Cysticercosis
1107,A79,Other rickettsioses
1108,J67,Hypersensitivity pneumonitis due to organic dust
1109,C53,Malignant neoplasm of cervix uteri
1110,N11,Chronic tubulo-interstitial nephritis
1111,D21,Other benign neoplasms of connective and other soft tissue
1112,M91,Juvenile osteochondrosis of hip and pelvis
1113,Q53,Undescended testicle
1114,D41,Neoplasm of uncertain or unknown behaviour of urinary organs
1115,D11,Benign neoplasm of major salivary glands
1116,W54,Bitten or struck by dog
1117,K00,Disorders of tooth development and eruption
1118,E72,Other disorders of amino-acid metabolism
1119,S33,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis"
1120,B60,"Other protozoal diseases, not elsewhere classified"
1121,L83,Acanthosis nigricans
1122,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person"
1123,C10,Malignant neoplasm of oropharynx
1124,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
1125,C09,Malignant neoplasm of tonsil
1126,F55,Abuse of non-dependence-producing substances
1127,X80,Intentional self-harm by jumping from a high place
1128,G63,Polyneuropathy in diseases classified elsewhere
1129,F70,Mild mental retardation
1130,F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
1131,J14,Pneumonia due to Haemophilus influenzae
1132,C88,Malignant immunoproliferative diseases
1133,A56,Other sexually transmitted chlamydial diseases
1134,I37,Pulmonary valve disorders
1135,V09,Pedestrian injured in other and unspecified transport accidents
1136,S85,Injury of blood vessels at lower leg level
1137,V26,Motorcycle rider injured in collision with other nonmotor vehicle
1138,B45,Cryptococcosis
1139,V29,Motorcycle rider injured in other and unspecified transport accidents
1140,V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
1141,R36,Urethral discharge
1142,Q38,"Other congenital malformations of tongue, mouth and pharynx"
1143,B85,Pediculosis and phthiriasis
1144,C46,Kaposi sarcoma
1145,M02,Reactive arthropathies
1146,C40,Malignant neoplasm of bone and articular cartilage of limbs
1147,V28,Motorcycle rider injured in noncollision transport accident
1148,Q01,Encephalocele
1149,G46,Vascular syndromes of brain in cerebrovascular diseases
1152,W29,Contact with other powered hand tools and household machinery
1153,H47,Other disorders of optic [2nd] nerve and visual pathways
1154,K06,Other disorders of gingiva and edentulous alveolar ridge
1155,S86,Injury of muscle and tendon at lower leg level
1156,K41,Femoral hernia
1157,B58,Toxoplasmosis
1158,T75,Effects of other external causes
1159,S16,Injury of muscle and tendon at neck level
1160,X93,Assault by handgun discharge
1161,Q33,Congenital malformations of lung
1163,F68,Other disorders of adult personality and behaviour
1164,J00,Acute nasopharyngitis [common cold]
1165,T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
1166,T31,Burns classified according to extent of body surface involved
1167,H92,Otalgia and effusion of ear
1168,E63,Other nutritional deficiencies
1169,N19,Unspecified kidney failure
1170,Q22,Congenital malformations of pulmonary and tricuspid valves
1171,D04,Carcinoma in situ of skin
1172,E34,Other endocrine disorders
1173,Q85,"Phakomatoses, not elsewhere classified"
1174,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
1175,S28,Crushing injury of thorax and traumatic amputation of part of thorax
1176,I06,Rheumatic aortic valve diseases
1177,F89,Unspecified disorder of psychological development
1179,G71,Primary disorders of muscles
1180,Y72,Otorhinolaryngological devices associated with adverse incidents
1181,W93,Exposure to excessive cold of man-made origin
1183,K36,Other appendicitis
1184,J35,Chronic diseases of tonsils and adenoids
1185,E54,Ascorbic acid deficiency
1186,F71,Moderate mental retardation
1187,B86,Scabies
1188,L51,Erythema multiforme
1190,Q43,Other congenital malformations of intestine
1191,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
1192,X81,Intentional self-harm by jumping or lying before moving object
1193,H21,Other disorders of iris and ciliary body
1194,Z49,Care involving dialysis
1195,L04,Acute lymphadenitis
1196,G64,Other disorders of peripheral nervous system
1197,T57,Toxic effect of other inorganic substances
1198,D36,Benign neoplasm of other and unspecified sites
1199,T56,Toxic effect of metals
1201,T23,Burn and corrosion of wrist and hand
1202,T25,Burn and corrosion of ankle and foot
1203,X12,Contact with other hot fluids
1204,O15,Eclampsia
1205,N98,Complications associated with artificial fertilization
1206,H50,Other strabismus
1207,E75,Disorders of sphingolipid metabolism and other lipid storage disorders
1208,R90,Abnormal findings on diagnostic imaging of central nervous system
1209,C51,Malignant neoplasm of vulva
1210,N90,Other noninflammatory disorders of vulva and perineum
1211,E24,Cushing syndrome
1212,D52,Folate deficiency anaemia
1213,C69,Malignant neoplasm of eye and adnexa
1214,J62,Pneumoconiosis due to dust containing silica
1215,X08,"Exposure to other specified smoke, fire and flames"
1216,S56,Injury of muscle and tendon at forearm level
1217,W25,Contact with sharp glass
1218,R83,Abnormal findings in cerebrospinal fluid
1219,A46,Erysipelas
1220,Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
1221,C93,Monocytic leukaemia
1222,C57,Malignant neoplasm of other and unspecified female genital organs
1223,T71,Asphyxiation
1224,X79,Intentional self-harm by blunt object
1225,A03,Shigellosis
1226,H73,Other disorders of tympanic membrane
1227,Y63,Failure in dosage during surgical and medical care
1228,E70,Disorders of aromatic amino-acid metabolism
1229,E84,Cystic fibrosis
1230,O91,Infections of breast associated with childbirth
1231,A31,Infection due to other mycobacteria
1232,N88,Other noninflammatory disorders of cervix uteri
1233,D67,Hereditary factor IX deficiency
1234,Y00,Assault by blunt object
1235,V40,Car occupant injured in collision with pedestrian or animal
1236,F80,Specific developmental disorders of speech and language
1237,A02,Other salmonella infections
1238,W09,Fall involving playground equipment
1239,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
1240,R89,"Abnormal findings in specimens from other organs, systems and tissues"
1241,C11,Malignant neoplasm of nasopharynx
1242,S71,Open wound of hip and thigh
1243,N44,Torsion of testis
1244,D44,Neoplasm of uncertain or unknown behaviour of endocrine glands
1245,B46,Zygomycosis
1246,J33,Nasal polyp
1247,O68,Labour and delivery complicated by fetal stress [distress]
1248,J05,Acute obstructive laryngitis [croup] and epiglottitis
1249,T07,Unspecified multiple injuries
1250,Y75,Neurological devices associated with adverse incidents
1251,E31,Polyglandular dysfunction
1252,J37,Chronic laryngitis and laryngotracheitis
1253,S87,Crushing injury of lower leg
1254,H30,Chorioretinal inflammation
1255,A07,Other protozoal intestinal diseases
1256,A01,Typhoid and paratyphoid fevers
1257,T65,Toxic effect of other and unspecified substances
1258,L64,Androgenic alopecia
1259,D74,Methaemoglobinaemia
1260,L63,Alopecia areata
1261,B39,Histoplasmosis
1262,E67,Other hyperalimentation
1263,R85,Abnormal findings in specimens from digestive organs and abdominal cavity
1264,L92,Granulomatous disorders of skin and subcutaneous tissue
1265,F52,"Sexual dysfunction, not caused by organic disorder or disease"
1266,O22,Venous complications and haemorrhoids in pregnancy
1267,Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
1268,M22,Disorders of patella
1269,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
1270,X71,Intentional self-harm by drowning and submersion
1272,C70,Malignant neoplasm of meninges
1273,L54,Erythema in diseases classified elsewhere
1274,H00,Hordeolum and chalazion
1275,T63,Toxic effect of contact with venomous animals
1276,A51,Early syphilis
1277,T24,"Burn and corrosion of hip and lower limb, except ankle and foot"
1278,V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object
1279,O20,Haemorrhage in early pregnancy
1280,V05,Pedestrian injured in collision with railway train or railway vehicle
1281,Q78,Other osteochondrodysplasias
1282,W24,"Contact with lifting and transmission device(s), not elsewhere classified"
1283,X31,Exposure to excessive natural cold
1284,Q81,Epidermolysis bullosa
1285,E32,Diseases of thymus
1286,C65,Malignant neoplasm of renal pelvis
1287,S08,Traumatic amputation of part of head
1288,H36,Retinal disorders in diseases classified elsewhere
1289,T74,Maltreatment syndromes
1290,T76,Unspecified effects of external causes
1291,C68,Malignant neoplasm of other and unspecified urinary organs
1292,L55,Sunburn
1293,A59,Trichomoniasis
1294,S76,Injury of muscle and tendon at hip and thigh level
1295,S19,Other and unspecified injuries of neck
1296,M33,Dermatopolymyositis
1297,Z41,Procedures for purposes other than remedying health state
1299,H42,Glaucoma in diseases classified elsewhere
1300,L68,Hypertrichosis
1301,Q15,Other congenital malformations of eye
1302,N46,Male infertility
1303,K45,Other abdominal hernia
1304,M88,Paget disease of bone [osteitis deformans]
1305,D42,Neoplasm of uncertain or unknown behaviour of meninges
1306,H72,Perforation of tympanic membrane
1307,W16,Diving or jumping into water causing injury other than drowning or submersion
1308,L84,Corns and callosities
1309,A19,Miliary tuberculosis
1310,I88,Nonspecific lymphadenitis
1311,Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
1312,A17,Tuberculosis of nervous system
1313,D71,Functional disorders of polymorphonuclear neutrophils
1314,D40,Neoplasm of uncertain or unknown behaviour of male genital organs
1315,L43,Lichen planus
1316,Q66,Congenital deformities of feet
1317,Q68,Other congenital musculoskeletal deformities
1318,C52,Malignant neoplasm of vagina
1319,S89,Other and unspecified injuries of lower leg
1320,Q99,"Other chromosome abnormalities, not elsewhere classified"
1321,O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified"
1322,O28,Abnormal findings on antenatal screening of mother
1323,A54,Gonococcal infection
1324,B82,Unspecified intestinal parasitism
1325,Z57,Occupational exposure to risk-factors
1326,C37,Malignant neoplasm of thymus
1327,G00,"Bacterial meningitis, not elsewhere classified"
1328,L52,Erythema nodosum
1329,S84,Injury of nerves at lower leg level
1330,D06,Carcinoma in situ of cervix uteri
1331,D22,Melanocytic naevi
1332,S75,Injury of blood vessels at hip and thigh level
1333,Q02,Microcephaly
1334,T20,Burn and corrosion of head and neck
1335,T21,Burn and corrosion of trunk
1336,X02,Exposure to controlled fire in building or structure
1337,D02,Carcinoma in situ of middle ear and respiratory system
1338,B01,Varicella [chickenpox]
1339,O65,Obstructed labour due to maternal pelvic abnormality
1340,V88,Nontraffic accident of specified type but victim's mode of transport unknown
1341,B07,Viral warts
1342,P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk
1343,S34,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level"
1344,X82,Intentional self-harm by crashing of motor vehicle
1345,B88,Other infestations
1346,D39,Neoplasm of uncertain or unknown behaviour of female genital organs
1347,B78,Strongyloidiasis
1348,S59,Other and unspecified injuries of forearm
1349,Q41,"Congenital absence, atresia and stenosis of small intestine"
1350,V98,Other specified transport accidents
1351,M92,Other juvenile osteochondrosis
1352,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
1353,A74,Other diseases caused by chlamydiae
1354,T60,Toxic effect of pesticides
1355,C66,Malignant neoplasm of ureter
1356,W15,Fall from cliff
1357,R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
1358,J22,Unspecified acute lower respiratory infection
1359,F95,Tic disorders
1360,C26,Malignant neoplasm of other and ill-defined digestive organs
1361,Q07,Other congenital malformations of nervous system
1362,Z39,Postpartum care and examination
1363,X11,Contact with hot tap-water
1364,S55,Injury of blood vessels at forearm level
1365,Q14,Congenital malformations of posterior segment of eye
1366,F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified"
1367,C06,Malignant neoplasm of other and unspecified parts of mouth
1368,Q26,Congenital malformations of great veins
1369,Y74,General hospital and personal-use devices associated with adverse incidents
1370,Q35,Cleft palate
1371,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
1372,A36,Diphtheria
1373,M83,Adult osteomalacia
1374,T58,Toxic effect of carbon monoxide
1375,F69,Unspecified disorder of adult personality and behaviour
1376,V46,Car occupant injured in collision with other nonmotor vehicle
1377,V58,Occupant of pick-up truck or van injured in noncollision transport accident
1378,I32,Pericarditis in diseases classified elsewhere
1379,G59,Mononeuropathy in diseases classified elsewhere
1380,S74,Injury of nerves at hip and thigh level
1381,C07,Malignant neoplasm of parotid gland
1382,X76,"Intentional self-harm by smoke, fire and flames"
1383,G09,Sequelae of inflammatory diseases of central nervous system
1384,L56,Other acute skin changes due to ultraviolet radiation
1385,G98,"Other disorders of nervous system, not elsewhere classified"
1386,Q11,"Anophthalmos, microphthalmos and macrophthalmos"
1387,Q55,Other congenital malformations of male genital organs
1388,H80,Otosclerosis
1389,B90,Sequelae of tuberculosis
1390,Q74,Other congenital malformations of limb(s)
