	response
I78	"{
  ""comment"": ""Patients with venous diseases (I78) often have comorbidities such as varicose veins (I83) and venous thrombosis (I87) due to shared risk factors like obesity, immobility, and chronic venous hypertension. These conditions are therefore more likely than in a random patient. Conversely, acute coronary syndromes such as myocardial infarction (I21) are less frequently associated with chronic venous disease and are less likely to co‑occur in this patient population."",
  ""answer"": {
    ""B"": [""I83"", ""I87""],
    ""C"": [""I21""]
  }
}"
T86	"```json
{
  ""comment"": ""Patients with organ transplant rejection are on chronic immunosuppression, which markedly increases the risk of infections (J00‑J99), drug‑related adverse events (T36‑T50), and secondary malignancies (C00‑C97). They also frequently undergo surgical procedures and related complications (S00‑T88). Conversely, congenital anomalies (Q00‑Q99) are not associated with transplant status and are therefore less likely to be seen in this population."",
  ""answer"": {
    ""B"": [""C00-C97"", ""J00-J99"", ""T36-T50"", ""S00-T88""],
    ""C"": [""Q00-Q99""]
  }
}
```"
H43	"```json
{
  ""comment"": ""Patients with vitreous disorders (H43) often have ocular comorbidities such as cataract (H25), retinal detachment (H33), and diabetic retinopathy (H36) due to shared risk factors (age, diabetes, trauma). They are also more likely to be evaluated for glaucoma (H40). Conversely, conditions unrelated to the eye, such as ear disorders (H90) or respiratory infections (J00), are less likely to co‑occur simply because they involve different organ systems and have no direct clinical link."",
  ""answer"": {
    ""B"": [""H25"", ""H33"", ""H36"", ""H40""],
    ""C"": [""H90"", ""J00""]
  }
}
```"
H25	"```json
{
  ""comment"": ""Senile cataract is strongly linked to aging and metabolic/vascular risk factors. Patients with cataract are more likely to have hypertension (I10), type 2 diabetes (E11), obesity (E66), and tobacco use (F17) due to shared risk factors and common etiologic pathways. Conversely, cancers such as oral (C00) and lung (C34) are less frequently documented in cataract patients than in the general population, likely because cataract patients are often older and may have different health-seeking behaviors that reduce the likelihood of these cancers being recorded."",
  ""answer"": {
    ""B"": [""I10"", ""E11"", ""E66"", ""F17""],
    ""C"": [""C00"", ""C34""]
  }
}
```"
F16	"{
  ""comment"": ""Hallucinogen use is strongly linked to other substance‑use disorders (F10–F14) and to psychotic disorders (F20, F25). Patients with hallucinogen use also frequently present with poisoning or overdose (T36–T50). Conversely, infectious diseases such as cholera (A00) or herpes (B00) are not associated with hallucinogen use and are therefore less likely than in a random patient."",
  ""answer"": {
    ""B"": [""F10"", ""F11"", ""F12"", ""F13"", ""F14"", ""F20"", ""F25"", ""T36"", ""T37"", ""T38"", ""T39"", ""T40"", ""T41"", ""T42"", ""T43"", ""T44"", ""T45"", ""T46"", ""T47"", ""T48"", ""T49"", ""T50""],
    ""C"": [""A00"", ""B00""]
  }
}"
O31	"```json
{
  ""comment"": ""Multiple gestation pregnancies carry higher risks of hypertensive disorders (O14), gestational diabetes (O24), anemia (O23), and postpartum hemorrhage (O72). They also increase the likelihood of preterm delivery (P07). Conditions unrelated to pregnancy, such as chronic infectious diseases (e.g., tuberculosis A15) or chronic liver disease (K70), are less likely to be present in this specific patient population."",
  ""answer"": {
    ""B"": [""O14"", ""O24"", ""O23"", ""O72"", ""P07""],
    ""C"": [""A15"", ""K70""]
  }
}
```"
O92	"```json
{
  ""comment"": ""Patients with postpartum breast and lactation disorders (O92) often experience mood and sleep disturbances due to hormonal shifts and caregiving demands, making depressive disorders (F53.1) and insomnia (G47.3) more common than in the general population.  Conversely, conditions unrelated to pregnancy or lactation, such as breast cancer (C50) or chronic anemia (D64), are less likely to be present simply because the postpartum period is a short window where these chronic diseases are not yet diagnosed or are less relevant."",
  ""answer"": {
    ""B"": [""F53.1"", ""G47.3""],
    ""C"": [""C50"", ""D64""]
  }
}
```"
V47	"```json
{
  ""comment"": ""Vehicle collision patients frequently present with acute traumatic injuries such as fractures, head and chest trauma, and other injury codes (S and T categories). Chronic conditions like diabetes, hypertension, chronic kidney disease, and other non‑traumatic diseases are less likely to be newly documented in the acute setting, so they are listed as less likely."",
  ""answer"": {
    ""B"": [""S06"", ""S12"", ""S22"", ""S32"", ""S42"", ""S52"", ""S62"", ""S72"", ""S82"", ""T14""],
    ""C"": [""E10"", ""E11"", ""E66"", ""I10"", ""I20"", ""N18"", ""J45"", ""K21""]
  }
}
```"
E13	"```json
{
  ""comment"": ""Patients with other specified diabetes mellitus (E13) commonly have metabolic and vascular complications.  Therefore, categories reflecting hypertension (I10), hyperlipidemia (E78), chronic kidney disease (N18), peripheral neuropathy (G63), and diabetic retinopathy (H35) are more likely than in a random patient.  Conditions that are less typical in this population, such as acute viral infections (A00–A09) or rare congenital disorders (Q00–Q99), are less likely to appear."",
  ""answer"": {
    ""B"": [""I10"", ""E78"", ""N18"", ""G63"", ""H35""],
    ""C"": [""A00"", ""A09"", ""Q00"", ""Q99""]
  }
}
```"
L93	"{
  ""comment"": ""Lupus erythematosus (L93) is an autoimmune disease that frequently co‑occurs with other autoimmune skin disorders and systemic manifestations.  Patients often develop systemic lupus (M32), anemia (D50, D64), renal involvement (N00), and are at higher risk of infections (A41).  Conditions unrelated to immune dysregulation, such as varicose veins (I83), are less common in this population."",
  ""answer"": {
    ""B"": [""M32"", ""D50"", ""D64"", ""N00"", ""A41""],
    ""C"": [""I83""]
  }
}"
E61	"{
  ""comment"": ""Deficiency of other nutrient elements (E61) is often seen in patients with malnutrition, chronic liver disease, chronic kidney disease, chronic gastrointestinal disorders, alcoholism, and other conditions that impair nutrient absorption or increase nutrient loss. These conditions are more common in such patients than in the general population, so ICD codes for chronic liver disease (K70), chronic kidney disease (N18), and chronic gastrointestinal disorders (K20–K93) would be more likely. Conversely, obesity (E66) is typically less common in patients with nutrient deficiencies, making it less likely to co‑occur."",
  ""answer"": {
    ""B"": [""K70"", ""N18"", ""K20"", ""K21"", ""K22"", ""K23"", ""K24"", ""K25"", ""K26"", ""K27"", ""K28"", ""K29"", ""K30"", ""K31"", ""K32"", ""K33"", ""K34"", ""K35"", ""K36"", ""K37"", ""K38"", ""K39"", ""K40"", ""K41"", ""K42"", ""K43"", ""K44"", ""K45"", ""K46"", ""K47"", ""K48"", ""K49"", ""K50"", ""K51"", ""K52"", ""K53"", ""K54"", ""K55"", ""K56"", ""K57"", ""K58"", ""K59"", ""K60"", ""K61"", ""K62"", ""K63"", ""K64"", ""K65"", ""K66"", ""K67"", ""K68"", ""K69"", ""K70"", ""K71"", ""K72"", ""K73"", ""K74"", ""K75"", ""K76"", ""K77"", ""K78"", ""K79"", ""K80"", ""K81"", ""K82"", ""K83"", ""K84"", ""K85"", ""K86"", ""K87"", ""K88"", ""K89"", ""K90"", ""K91"", ""K92"", ""K93""],
    ""C"": [""E66""]
  }
}"
N75	"{
  ""comment"": ""Bartholin gland disease (N75) is a gynecologic condition that commonly co‑occurs with other vulvovaginal infections and inflammatory disorders. Women with Bartholin cysts or abscesses often have concurrent vulvovaginal candidiasis (N70), vulvitis (N71), or vulvovaginal discharge (N72) due to shared risk factors such as sexual activity, hygiene practices, and local irritation. Conversely, conditions that are not directly related to the vulvovaginal tract—such as endometriosis (N80), urinary bladder cystitis (N30), and lower urinary tract infections (N39)—are less likely to appear in the same patient simply because they involve different anatomical sites and pathophysiological mechanisms."",
  ""answer"": {
    ""B"": [""N70"",""N71"",""N72""],
    ""C"": [""N80"",""N30"",""N39""]
  }
}"
O47	"```json
{
  ""comment"": ""False labour (O47) is a pregnancy‑related event that often co‑occurs with other obstetric complications or routine antenatal care.  Patients with O47 are therefore more likely to have codes for preterm labour (O34), premature rupture of membranes (O42), or a normal delivery (O80).  Conversely, conditions unrelated to pregnancy, such as malignant neoplasms (C00‑C97) or chronic diseases of the nervous system (G00‑G99), are less likely to be present in this patient group."",
  ""answer"": {
    ""B"": [""O34"", ""O42"", ""O80""],
    ""C"": [""C00"", ""G00""]
  }
}
```"
L50	"{
  ""comment"": ""Urticaria (L50) is frequently triggered by infections, allergic reactions, and autoimmune conditions, so categories related to infections (J00–J99) and allergic disorders (L20–L29) are more likely. Conditions that are unrelated to immune or allergic mechanisms, such as many neoplasms (C00–C97) or metabolic disorders (E00–E89), are less likely to co‑occur simply by chance."",
  ""answer"": {
    ""B"": [""J00"", ""J20"", ""J44"", ""L20"", ""L24""],
    ""C"": [""C00"", ""C34"", ""E10"", ""E66""]
  }
}"
B33	"{
  ""comment"": ""Patients with other viral diseases (B33) often have underlying immunosuppression or concurrent viral infections. The most common comorbidity is HIV infection (B20), which is strongly associated with a wide spectrum of viral illnesses. No ICD‑10 category shows a clear inverse relationship with B33, so no categories are listed as less likely."",
  ""answer"": {
    ""B"": [""B20""],
    ""C"": []
  }
}"
R81	"{
  ""comment"": ""Glycosuria is a hallmark of hyperglycaemia and is most commonly seen in patients with diabetes mellitus. Therefore, the diabetes mellitus categories (E10–E14) and the general abnormal glucose category (R73) are markedly more likely than in a random patient. Conditions unrelated to glucose metabolism, such as hematuria (R82), are less likely to coexist with isolated glycosuria."",
  ""answer"": {
    ""B"": [""E10"", ""E11"", ""E12"", ""E13"", ""E14"", ""R73""],
    ""C"": [""R82""]
  }
}"
N70	"{
  ""comment"": ""Salpingitis and oophoritis (N70) is a pelvic inflammatory disease (PID) that frequently co‑occurs with other gynecologic disorders such as infertility (N97) and endometriosis (N80). Patients with PID also often have other female genital tract conditions (N34). Conversely, systemic conditions that are not related to pelvic inflammation, such as diabetes mellitus (N10) or chronic kidney disease (N18), are not expected to be more common in this population and may even be slightly less frequent due to competing health priorities."",
  ""answer"": {
    ""B"": [""N97"", ""N80"", ""N34""],
    ""C"": [""N10"", ""N18""]
  }
}"
G21	"{
  ""comment"": ""Secondary parkinsonism (G21) is most often seen in patients with other extrapyramidal disorders, neurodegenerative diseases, or drug‑induced movement disorders. Therefore categories that represent these conditions (e.g., primary Parkinson disease G20, other extrapyramidal disorders G25.x, Alzheimer disease G30, and related neurodegenerative codes) are more likely to co‑occur. Conditions that are unrelated to neurological disease or that are typically excluded in the work‑up of parkinsonism (e.g., common cancers C00‑C97, asthma J45, or uncomplicated hypertension I10) are less likely to appear in the same patient record."",
  ""answer"": {
    ""B"": [""G20"", ""G25"", ""G30"", ""G31""],
    ""C"": [""C00"", ""J45"", ""I10""]
  }
}"
N86	"{
  ""comment"": ""Cervical erosion (N86) is strongly associated with sexually transmitted infections, especially HPV (B15–B19), Candida (B37), Trichomonas (B35), and gonorrhea (A54). These infections are more common in patients with cervical erosion due to shared risk factors and diagnostic workup. Conditions like endometriosis (N80) and other non‑genital gynecologic disorders are less likely to co‑occur, as they have different etiologies and are not typically screened for in patients with cervical erosion."",
  ""answer"": {
    ""B"": [""B15"", ""B16"", ""B17"", ""B18"", ""B19"", ""B35"", ""B37"", ""A54""],
    ""C"": [""N80""]
  }
}"
J21	"{
  ""comment"": ""Acute bronchiolitis is a viral lower respiratory infection common in infants and young children. It is frequently accompanied by other acute lower respiratory conditions such as acute bronchitis (J20) and pneumonia (J18), and often presents with cough (R05) and allergic rhinitis (J30) as part of the viral upper respiratory tract involvement. These conditions are therefore more likely to co‑occur than in a random patient. Conditions that are typically less associated with bronchiolitis, such as chronic obstructive pulmonary disease (J44) or chronic asthma (J45), are not expected to be more frequent in this age group and are therefore considered less likely."",
  ""answer"": {
    ""B"": [""J20"", ""J18"", ""J30"", ""R05""],
    ""C"": []
  }
}"
M05	"{
  ""comment"": ""Seropositive rheumatoid arthritis (M05) is strongly associated with other forms of rheumatoid arthritis, so the category M06 (other rheumatoid arthritis) is more likely to co‑occur. No ICD‑10 category shows a clear, clinically supported decrease in prevalence for this patient group, so the less‑likely list is empty."",
  ""answer"": {
    ""B"": [""M06""],
    ""C"": []
  }
}"
Q96	"{
  ""comment"": ""Turner syndrome is associated with a spectrum of cardiovascular, endocrine, renal, and musculoskeletal abnormalities. Common comorbidities include hypertension (I10), ischemic heart disease (I25), chronic kidney disease (N18), hypothyroidism (E03), type 2 diabetes (E11), sensorineural hearing loss (H90), and osteoporosis (M81). These conditions are markedly more frequent than in the general population, whereas other ICD‑10 categories (e.g., cancers, infections) do not show a clear deviation and are omitted."",
  ""answer"": {
    ""B"": [""I10"", ""I25"", ""N18"", ""E03"", ""E11"", ""H90"", ""M81""],
    ""C"": []
  }
}"
B15	"```json
{
  ""comment"": ""Acute hepatitis A (B15) is often associated with other viral hepatitis infections (e.g., chronic hepatitis B/C, coded B18), chronic liver disease (K70‑K77), and risk factors such as alcohol use (F10) and metabolic syndrome (E66). These conditions are therefore more likely to co‑occur. Conversely, conditions unrelated to liver disease and not linked to the same transmission routes, such as tuberculosis (A15) or chronic obstructive pulmonary disease (J44), are less likely to appear in a patient with acute hepatitis A."",
  ""answer"": {
    ""B"": [""B18"", ""K70"", ""K71"", ""K72"", ""K73"", ""K74"", ""K75"", ""K76"", ""K77"", ""F10"", ""E66""],
    ""C"": [""A15"", ""J44""]
  }
}
```"
O89	"{
  ""comment"": ""Patients who undergo anesthesia during the puerperium are more likely to have other obstetric complications such as delivery (O80), postpartum hemorrhage (O82), and other pregnancy‑related complications (O99).  These conditions are often co‑diagnosed or arise during the same hospital stay.  Conversely, diagnoses unrelated to pregnancy or anesthesia—such as malignant neoplasms (C00) or routine health‑check codes (Z00)—are less likely to appear in this specific patient population."",
  ""answer"": {
    ""B"": [""O80"", ""O82"", ""O99""],
    ""C"": [""C00"", ""Z00""]
  }
}"
D60	"{
  ""comment"": ""Acquired pure red cell aplasia (D60) is a specific marrow failure syndrome that often co‑occurs with other aplastic or pancytopenic disorders and is frequently drug‑ or infection‑related. Therefore categories describing other aplastic anemias (D61), anemia due to other causes (D71), drug‑induced anemia (D73), and anemia due to other disorders (D75) are more likely to be present. Conversely, common inherited or nutritional anemias such as iron‑deficiency anemia (D50) and hemoglobinopathies like thalassemia (D57) are less typical in this patient population."",
  ""answer"": {
    ""B"": [""D61"", ""D71"", ""D73"", ""D75""],
    ""C"": [""D50"", ""D57""]
  }
}"
J17	"{
  ""comment"": ""Patients with pneumonia (J17) frequently have underlying chronic lung disease such as COPD (J44) or asthma (J45), and are at higher risk for heart failure (I50), chronic kidney disease (N18), and diabetes (E10‑E14). They also often develop complications like sepsis (A41) or respiratory failure (J96). Conditions unrelated to pulmonary infection, such as gastro‑esophageal reflux (K21) or sleep apnea (G47), are less commonly documented in the same records."",
  ""answer"": {
    ""B"": [""J44"", ""J45"", ""I50"", ""N18"", ""E10"", ""E11"", ""E12"", ""E13"", ""E14"", ""A41"", ""J96""],
    ""C"": [""K21"", ""G47""]
  }
}"
B44	"{
  ""comment"": ""Aspergillosis (B44) commonly occurs in immunocompromised hosts and patients with chronic lung disease. Therefore, opportunistic infections such as HIV (B20) and candidiasis (B37) are more likely. Chronic obstructive pulmonary disease (J44) is also frequently associated. Conversely, conditions unrelated to immune status or pulmonary pathology, such as cholera (A00), are less likely to co‑occur."",
  ""answer"": {
    ""B"": [""B20"", ""B37"", ""J44""],
    ""C"": [""A00""]
  }
}"
X72	"{
  ""comment"": ""Patients who intentionally harm themselves with a handgun are almost always associated with psychiatric disorders such as depression, anxiety, and substance‑use disorders. These conditions are far more common in this group than in the general population, so their ICD‑10 categories are listed as more likely (B). Conversely, acute infectious diseases or routine preventive care codes (e.g., cholera, herpes, or general health check‑up) are not typically seen in this population and are therefore listed as less likely (C)."",
  ""answer"": {
    ""B"": [""F32"", ""F41"", ""F10"", ""F11""],
    ""C"": [""A00"", ""B00""]
  }
}"
A49	"{""comment"":""Patients with an unspecified bacterial infection (A49) are more likely to have other infectious conditions, especially those involving the respiratory tract (J00–J99) and the urinary tract (N30–N39). They are also more likely to have conditions related to immune suppression (B20–B24 HIV, B30–B39 other viral infections) or complications such as sepsis (A40–A41). Conversely, chronic non‑infectious conditions such as essential hypertension (I10) or chronic liver disease (K70–K77) are less likely to be present simply because the patient’s current presentation is dominated by an acute infectious process."",""answer"":{""B"":[""J00"",""J01"",""J02"",""J03"",""J04"",""J05"",""J06"",""J07"",""J08"",""J09"",""J10"",""J11"",""J12"",""J13"",""J14"",""J15"",""J16"",""J17"",""J18"",""J19"",""J20"",""J21"",""J22"",""J23"",""J24"",""J25"",""J26"",""J27"",""J28"",""J29"",""J30"",""J31"",""J32"",""J33"",""J34"",""J35"",""J36"",""J37"",""J38"",""J39"",""J40"",""J41"",""J42"",""J43"",""J44"",""J45"",""J46"",""J47"",""J48"",""J49"",""J50"",""J51"",""J52"",""J53"",""J54"",""J55"",""J56"",""J57"",""J58"",""J59"",""J60"",""J61"",""J62"",""J63"",""J64"",""J65"",""J66"",""J67"",""J68"",""J69"",""J70"",""J71"",""J72"",""J73"",""J74"",""J75"",""J76"",""J77"",""J78"",""J79"",""J80"",""J81"",""J82"",""J83"",""J84"",""J85"",""J86"",""J87"",""J88"",""J89"",""J90"",""J91"",""J92"",""J93"",""J94"",""J95"",""J96"",""J97"",""J98"",""J99"",""N30"",""N31"",""N32"",""N33"",""N34"",""N35"",""N36"",""N37"",""N38"",""N39"",""B20"",""B21"",""B22"",""B23"",""B24"",""B30"",""B31"",""B32"",""B33"",""B34"",""B35"",""B36"",""B37"",""B38"",""B39"",""A40"",""A41""],""C"":[""I10"",""I11"",""I12"",""I13"",""I14"",""I15"",""I20"",""I21"",""I22"",""I23"",""I24"",""I25"",""I26"",""I27"",""I28"",""I29"",""I30"",""I31"",""I32"",""I33"",""I34"",""I35"",""I36"",""I37"",""I38"",""I39"",""I40"",""I41"",""I42"",""I43"",""I44"",""I45"",""I46"",""I47"",""I48"",""I49"",""I50"",""I51"",""I52"",""I53"",""I54"",""I55"",""I56"",""I57"",""I58"",""I59"",""I60"",""I61"",""I62"",""I63"",""I64"",""I65"",""I66"",""I67"",""I68"",""I69"",""I70"",""I71"",""I72"",""I73"",""I74"",""I75"",""I76"",""I77"",""I78"",""I79"",""I80"",""I81"",""I82"",""I83"",""I84"",""I85"",""I86"",""I87"",""I88"",""I89"",""I90"",""I91"",""I92"",""I93"",""I94"",""I95"",""I96"",""I97"",""I98"",""I99"",""K70"",""K71"",""K72"",""K73"",""K74"",""K75"",""K76"",""K77""]}}"
A18	"{""comment"":""Patients with tuberculosis of other organs (A18) often have disseminated or extrapulmonary TB, which is frequently associated with other TB manifestations (A15–A19) and with immunosuppression such as HIV infection (B20).  They are also more likely to have opportunistic infections like bacterial pneumonia (J18) and other opportunistic infections (B20–B24).  Conditions that are less frequently seen in this population include many autoimmune disorders (e.g., systemic lupus erythematosus, M32) and certain metabolic diseases (e.g., diabetes mellitus type 1, E10) because the clinical focus is on infection rather than these chronic conditions."",""answer"":{""B"":[""A15"",""A16"",""A17"",""A18"",""A19"",""B20"",""J18""],""C"":[""M32"",""E10""]}}"
H44	"{
  ""comment"": ""Patients with disorders of the globe (H44) frequently have other ocular conditions such as cataract (H25), retinal disorders (H35), choroidal disorders (H33), and optic nerve disorders (H43) due to shared risk factors (age, diabetes, hypertension) and overlapping diagnostic work‑ups. Conditions unrelated to the eye, such as malignant neoplasms of the lip (C00) or other non‑ocular cancers, are not specifically associated and thus are less likely to co‑occur in this patient group."",
  ""answer"": {
    ""B"": [""H25"", ""H33"", ""H35"", ""H43""],
    ""C"": [""C00""]
  }
}"
Q89	"{
  ""comment"": ""Patients with a primary congenital malformation (ICD‑10 Q89) almost always have additional congenital anomalies, so other Q‑category codes (Q00–Q99) are markedly more common.  In contrast, malignant neoplasms (C00–C97) are not typically associated with isolated congenital malformations and are therefore less frequent than in the general population."",
  ""answer"": {
    ""B"": [""Q00"", ""Q01"", ""Q02""],
    ""C"": [""C00"", ""C01"", ""C02""]
  }
}"
H52	"```json
{
  ""comment"": ""Patients with refractive and accommodation disorders (H52) are frequently older adults or individuals with systemic conditions such as diabetes. These groups also have higher rates of cataract (H25), diabetic retinopathy (H35), and glaucoma (H40), making these categories more likely than in a random patient. Conversely, ear infections (H60) are unrelated to visual refractive status and are less likely to co‑occur, so it is listed as less likely."",
  ""answer"": {
    ""B"": [""H25"", ""H35"", ""H40""],
    ""C"": [""H60""]
  }
}
```"
J82	"{
  ""comment"": ""Pulmonary eosinophilia (J82) is strongly associated with allergic airway disease, parasitic infections, and drug‑induced reactions. Therefore asthma (J45), allergic rhinitis (J30), helminthic infections (B65, B69) and drug toxicity (T36) are more likely. Conditions unrelated to eosinophilic inflammation, such as primary lung cancer (C34) and acute myocardial infarction (I21), are less likely to coexist."",
  ""answer"": {
    ""B"": [""J45"", ""J30"", ""B65"", ""B69"", ""T36""],
    ""C"": [""C34"", ""I21""]
  }
}"
Q05	"{
  ""comment"": ""Spina bifida is a congenital neural tube defect that is frequently associated with hydrocephalus, epilepsy, and urinary tract dysfunction. Therefore, ICD categories for hydrocephalus (G93), epilepsy (G40), and urinary tract infection (N39) are markedly more likely in these patients. Conversely, conditions that are largely unrelated to the underlying neural tube defect, such as breast cancer (C50) and essential hypertension (I10), tend to be less common in this specific population compared to the general random patient."",
  ""answer"": {
    ""B"": [""G93"", ""G40"", ""N39""],
    ""C"": [""C50"", ""I10""]
  }
}"
B30	"{
  ""comment"": ""Viral conjunctivitis (B30) is often associated with other ocular infections and conditions that share viral etiology or immune response, such as other conjunctival disorders (B30) and viral upper respiratory infections (J00). It is less likely to coexist with chronic systemic diseases that are unrelated to viral infections, such as type 2 diabetes (E11) or hypertension (I10)."",
  ""answer"": {
    ""B"": [""B30"", ""J00""],
    ""C"": [""E11"", ""I10""]
  }
}"
G80	"{
  ""comment"": ""Cerebral palsy (G80) is strongly linked to neurological sequelae such as epilepsy (G40), migraine (G43), and sleep disorders (G47). These conditions are more prevalent in CP patients due to shared neurodevelopmental pathways and treatment side‑effects. Conversely, acute infectious diseases like cholera (A00) are not related to CP and are therefore less likely to be seen in this population."",
  ""answer"": {
    ""B"": [""G40"", ""G43"", ""G47""],
    ""C"": [""A00""]
  }
}"
L23	"```json
{
  ""comment"": ""Allergic contact dermatitis (L23) is strongly linked to other inflammatory skin disorders such as atopic dermatitis (L20), eczema (L25), pruritus (L30), and psoriasis (L40). These conditions share common immunologic pathways and often co‑occur. Occupational exposures that cause L23 also increase the risk of other contact dermatitis codes (L24). Conversely, conditions that are largely unrelated to skin immune reactions—such as malignant neoplasms (C00‑C97) or chronic cardiovascular diseases (I10‑I15)—are less likely to be seen in the same patient simply because they are not part of the same disease spectrum or shared risk factor profile."",
  ""answer"": {
    ""B"": [""L20"", ""L25"", ""L30"", ""L40"", ""L24""],
    ""C"": [""C00"", ""C01"", ""C02"", ""C03"", ""C04"", ""C05"", ""C06"", ""C07"", ""C08"", ""C09"", ""C10"", ""C11"", ""C12"", ""C13"", ""C14"", ""C15"", ""C16"", ""C17"", ""C18"", ""C19"", ""C20"", ""C21"", ""C22"", ""C23"", ""C24"", ""C25"", ""C26"", ""C27"", ""C28"", ""C29"", ""C30"", ""C31"", ""C32"", ""C33"", ""C34"", ""C35"", ""C36"", ""C37"", ""C38"", ""C39"", ""C40"", ""C41"", ""C42"", ""C43"", ""C44"", ""C45"", ""C46"", ""C47"", ""C48"", ""C49"", ""C50"", ""C51"", ""C52"", ""C53"", ""C54"", ""C55"", ""C56"", ""C57"", ""C58"", ""C59"", ""C60"", ""C61"", ""C62"", ""C63"", ""C64"", ""C65"", ""C66"", ""C67"", ""C68"", ""C69"", ""C70"", ""C71"", ""C72"", ""C73"", ""C74"", ""C75"", ""C76"", ""C77"", ""C78"", ""C79"", ""C80"", ""C81"", ""C82"", ""C83"", ""C84"", ""C85"", ""C86"", ""C87"", ""C88"", ""C89"", ""C90"", ""C91"", ""C92"", ""C93"", ""C94"", ""C95"", ""C96"", ""C97"", ""I10"", ""I11"", ""I12"", ""I13"", ""I14"", ""I15""]
  }
}
```"
D24	"{
  ""comment"": ""Patients with benign breast neoplasms often undergo imaging and biopsies that also detect malignant breast lesions, making malignant breast neoplasms (C50) and other benign breast neoplasms (D23) more likely. Conditions unrelated to breast pathology, such as essential hypertension (I10), are not specifically associated and are considered no different or less likely; given uncertainty, they are omitted."",
  ""answer"": {
    ""B"": [""C50"", ""D23""],
    ""C"": []
  }
}"
Q51	"```json
{
  ""comment"": ""Congenital uterine and cervical malformations frequently co‑occur with other genitourinary anomalies such as renal dysplasia (Q61) and other genital tract malformations (Q62). Women with these anomalies are also more likely to be seen for pregnancy monitoring (Z34). Conditions unrelated to the reproductive system, such as malignant neoplasms of the lip (C00) or breast (C50), are not specifically associated and therefore are less likely to appear in this patient’s record."",
  ""answer"": {
    ""B"": [""Q61"", ""Q62"", ""Z34""],
    ""C"": [""C00"", ""C50""]
  }
}
```"
Q52	"{
  ""comment"": ""Patients with congenital malformations of female genitalia (Q52) frequently have other congenital anomalies due to shared embryologic origins or genetic syndromes. Thus, categories such as Q43 (urinary system), Q44 (digestive system), Q45 (musculoskeletal system), Q47 (nervous system), and Q50 (cardiac malformations) are more common than in a random patient. Conversely, congenital malformations of male genitalia (Q61) are less likely in this group."",
  ""answer"": {
    ""B"": [""Q43"", ""Q44"", ""Q45"", ""Q47"", ""Q50""],
    ""C"": [""Q61""]
  }
}"
N76	"{
  ""comment"": ""Patients with inflammation of the vagina and vulva (N76) frequently have concurrent genitourinary or sexually transmitted infections because the same pathogens or risk factors (e.g., sexual activity, hygiene practices) predispose to both conditions. Thus codes for gonorrhea (A54), chlamydia (A55), vulvovaginal candidiasis (B37), cystitis (N30), urinary tract infection (N39), and pregnancy‑related codes (O00, O20) are more likely than in a random patient. Conversely, systemic conditions unrelated to the genitourinary tract, such as cardiovascular disease (I00‑I99) or lower‑respiratory infections (J00‑J99), have no clinical link and are therefore less likely to co‑occur."",
  ""answer"": {
    ""B"": [""A54"", ""A55"", ""B37"", ""N30"", ""N39"", ""O00"", ""O20""],
    ""C"": [""I00"", ""J00""]
  }
}"
H60	"{
  ""comment"": ""Otitis externa (H60) is frequently associated with other ear and skin conditions, especially those involving moisture or skin barrier defects. Consequently, other ear‑related categories such as H60 itself and H60‑related infections are more likely. Conversely, malignant neoplasms of unrelated organs (e.g., C80) are not linked to otitis externa and are therefore less likely to co‑occur than in a random patient."",
  ""answer"": {
    ""B"": [""H60""],
    ""C"": [""C80""]
  }
}"
H71	"{
  ""comment"": ""Cholesteatoma of the middle ear is strongly linked to chronic otitis media (H65), acute mastoiditis (H66), other middle‑ear disorders (H68), and conductive hearing loss (H73). These conditions are far more common in patients with cholesteatoma than in the general population. In contrast, malignant neoplasms of the head and neck (e.g., C00–C04) are rare in this patient group and thus less likely to co‑occur."",
  ""answer"": {
    ""B"": [""H65"", ""H66"", ""H68"", ""H71"", ""H73""],
    ""C"": [""C00"", ""C01"", ""C02"", ""C03"", ""C04""]
  }
}"
S90	"{
  ""comment"": ""Patients with superficial ankle/foot injuries (S90) often sustain other lower‑extremity trauma, especially injuries to adjacent joints or the foot itself. Thus S91 (other injuries of lower limb) and S80 (injury of foot) are more likely than in a random patient. Conversely, conditions unrelated to acute trauma, such as malignant neoplasms of the lip (C00) or essential hypertension (I10), are less likely to co‑occur in the same encounter, so they are listed as less likely."",
  ""answer"": {
    ""B"": [""S91"", ""S80""],
    ""C"": [""C00"", ""I10""]
  }
}"
J13	"{
  ""comment"": ""Patients with pneumonia due to Streptococcus pneumoniae often have other lower‑respiratory tract infections or systemic complications.  Common comorbidities and sequelae include acute bronchitis (J20), unspecified pneumonia (J18), chronic obstructive pulmonary disease (J44), asthma (J45), and sepsis (A41).  Conversely, routine preventive visits (Z00) are less frequent in this acute‑illness cohort, and such encounters are not directly linked to the infectious process."",
  ""answer"": {
    ""B"": [""J18"", ""J20"", ""J44"", ""J45"", ""A41""],
    ""C"": [""Z00""]
  }
}"
A77	"{
  ""comment"": ""Patients with spotted fever (A77) are often exposed to ticks and thus have a higher likelihood of other tick‑borne infections such as Lyme disease (A69). They also may have other rickettsial infections (A77). Conversely, enteric infections like cholera (A00) or typhoid fever (A01) are unrelated to tick exposure and are less common in this population."",
  ""answer"": {
    ""B"": [""A69"", ""A77""],
    ""C"": [""A00"", ""A01""]
  }
}"
